Term	TermType	English	Turkish	Dutch	German	French	Italian	Portuguese	Spanish	Russian	Japanese	Korean
CollectionCollectCardsToSet	0	Collect all cards to complete set!	Seti tamamlamak için tüm kartları topla!	Verzamel alle kaarten om de set te voltooien!	Sammle alle Karten, um das Set zu vervollständigen!	Collectionnez toutes les cartes pour compléter le set !	Colleziona tutte le carte per completare il set!	Colete todas as cartas para completar o conjunto!	¡Colecciona todas las cartas para completar el set!	Соберите все карты, чтобы завершить набор!	全てのカードを集めてセットを完成させよう！	모든 카드를 수집하여 세트를 완성하세요!
CollectionCompleteThemes	0	Complete all themes\n to claim the {0}!	Tüm temaları tamamla\nve {0} kazan!	Voltooi alle thema’s om de {0} te krijgen!	Schließe alle Themen ab, \num {0} zu beanspruchen!	Complétez tous les thèmes pour réclamer le {0} !	Completa tutti i temi per ottenere il {0}!	Complete todos os temas para reivindicar o {0}!	Completa todos los temas para reclamar el {0}!	Завершите все темы, чтобы получить {0}!	すべてのテーマを完成させて、\n{0}を手に入れよう！	모든 테마를 완료하여 \n{0}을(를) 획득하세요!
CollectionCompleted	0	{0}\nCompleted!	{0}\nTamamlandı!	{0} Voltooid!	{0} Abgeschlossen!	{0} Terminé !	{0} Completato!	{0} Concluído!	¡{0} Completado!	{0} Завершено!	{0}達成！	{0} 완성!
CollectionDailyCardLimit	0	You have reached the daily card sending limit.	Günlük kart gönderme limitine ulaştınız.	Je hebt de dagelijkse limiet voor het verzenden van kaarten bereikt.	Du hast das tägliche Limit für das Versenden von Karten erreicht.	Vous avez atteint la limite quotidienne d'envoi de cartes.	Hai raggiunto il limite giornaliero di invio carte.	Você atingiu o limite diário de envio de cartas.	Has alcanzado el límite diario de envío de cartas.	Вы достигли ежедневного лимита отправки карт.	カードを送信できる毎日の上限に達しました。	당신은 오늘의 카드 전송 한도에 도달했습니다.
CollectionDailyLimit	0	Daily Limit:	Günlük Limit:	Dagelijkse Limiet:	Tageslimit:	Limite Quotidienne :	Limite Giornaliero:	Limite Diário:	Límite Diario:	Дневной Лимит:	デイリーリミット：	일일 한도:
CollectionFinishAllSets	0	Finish all sets to win\nthe grand prize!	Büyük ödülü kazanmak için\ntüm setleri tamamla!	Voltooi alle sets om \nde hoofdprijs te winnen!	Schließe alle Sets ab, um den\nHauptpreis zu gewinnen!	Termine tous les sets pour\ngagner le grand prix !	Completa tutti i set per\nvincere il gran premio!	Termine todos os conjuntos para\nganhar o grande prêmio!	¡Termina todos los sets \npara ganar el gran premio!	Завершите все наборы, \nчтобы выиграть главный приз!	全セットクリアでグランプリ獲得！	모든 세트를 완성하여 대상을 획득하세요!
CollectionGoldCardWarning	0	Gold cards cannot be requested.	Altın kartlar istenemez.	Gouden kaarten kunnen niet worden aangevraagd.	Goldkarten können nicht angefordert werden.	Cartes en or ne peuvent pas être demandées.	Impossibile richiedere le carte d'oro.	Cartões de ouro não podem ser solicitados.	Las cartas doradas no se pueden solicitar.	Золотые карты нельзя запрашивать.	ゴールドカードはリクエストできません。	골드 카드는 요청할 수 없습니다.
CollectionGoldCardsSend	0	<color=#FFC20F>Gold cards</color> can`t be sent!	<color=#FFC20F>Altın kartlar</color> gönderilemez!	<color=#FFC20F>Gouden kaarten</color> kunnen niet verzonden worden!	<color=#FFC20F>Goldkarten</color> können nicht gesendet werden!	Les <color=#FFC20F>cartes d'or</color> ne peuvent pas être envoyées !	Le <color=#FFC20F>carte d'oro</color> non possono essere inviate!	<color=#FFC20F>Cartas douradas</color> não podem ser enviadas!	¡Las <color=#FFC20F>cartas doradas</color> no se pueden enviar!	<color=#FFC20F>Золотые карты</color> нельзя отправлять!	<color=#FFC20F>ゴールドカード</color>は送信できません！	<color=#FFC20F>골드 카드</color>는 전송할 수 없습니다!
CollectionNeedJoinTeam	0	You need to join a team to request a card!	Kart istemek için takıma katılman gerekiyor!	Je moet lid worden van een team om een kaart aan te vragen!	Du musst einem Team beitreten, um eine Karte anzufordern!	Tu dois rejoindre une équipe pour demander une carte !	Devi unirti a una squadra per richiedere una carta!	Você precisa se juntar a uma equipe para solicitar uma carta!	¡Necesitas unirte a un equipo para solicitar una carta!	Вам нужно присоединиться к команде, чтобы запросить карту!	カードリクエストにはチーム参加が必要です！	카드를 요청하려면 팀에 가입해야 합니다!
CollectionNewComingSoon	0	New Collection will be coming soon!	Yeni Koleksiyon yakında geliyor!	Nieuwe Collectie komt binnenkort!	Neue Sammlung kommt bald!	La Nouvelle Collection arrive bientôt !	La Nuova Collezione arriverà presto!	A Nova Coleção chegará em breve!	¡La Nueva Colección llegará pronto!	Новая Коллекция скоро появится!	新コレクションが近日登場！	새 컬렉션이 곧 출시됩니다!
CollectionNotEnoughCards	0	You do not have enough card in your inventory.	Envanterinizde yeterli kart yok.	Je hebt niet genoeg kaarten in je inventaris.	Dein Inventar enthält nicht genügend Karten.	Vous n'avez pas assez de cartes dans votre inventaire.	Non hai abbastanza carte nel tuo inventario.	Você não tem cartas suficientes em seu inventário.	No tienes suficientes cartas en tu inventario.	У вас недостаточно карт в вашем инвентаре.	インベントリにカードが十分にありません。	당신의 인벤토리에 카드가 충분하지 않습니다.
CollectionOpenChest	0	Open chests with your extra cards!	Ekstra kartlarınla sandık aç!	Open kisten met je extra kaarten!	Öffne Kisten mit deinen zusätzlichen Karten!	Ouvre des coffres avec tes cartes supplémentaires !	Apri forzieri con le tue carte extra!	Abra baús com suas cartas extras!	¡Abre cofres con tus cartas extra!	Открывайте сундуки дополнительными картами!	余ったカードでチェストを開こう！	여분의 카드로 상자를 열어보세요!
CollectionSelectCard	0	Please select a card to request.	Lütfen istemek için bir kart seçin.	Selecteer een kaart om aan te vragen.	Bitte wählen Sie eine Karte aus, um eine Anfrage zu stellen.	Veuillez sélectionner une carte à demander.	Seleziona una carta da richiedere.	Por favor, selecione um cartão para solicitar.	Por favor, selecciona una carta para solicitar.	Пожалуйста, выберите карту для запроса.	カードを選択してリクエストしてください。	카드를 요청할 선택하세요.
CollectionSendDuplicate	0	You need a duplicate to send this card!	Bu kartı göndermek için kopyasına ihtiyacın var!	Je hebt een duplicaat nodig om deze kaart te verzenden!	Du brauchst ein Duplikat, um diese Karte zu senden!	Tu as besoin d'un duplicata pour envoyer cette carte !	Hai bisogno di un duplicato per inviare questa carta!	Você precisa de uma duplicata para enviar esta carta!	¡Necesitas un duplicado para enviar esta carta!	Вам нужен дубликат, чтобы отправить эту карту!	このカードを送信するには重複が必要です！	이 카드를 보내려면 중복 카드가 필요합니다!
CollectionStarted	0	New Collection Started!	Yeni Koleksiyon Başladı!	Nieuwe Collectie Gestart!	Neue Sammlung gestartet!	Une nouvelle collection a commencé !	Nuova Collezione Iniziata!	Nova Coleção Iniciada!	¡Nueva Colección Comenzada!	Начат новый сбор!	新しいコレクションが始まりました！	새로운 컬렉션이 시작되었습니다!
CollectionUnlock	0	Unlock Collection at <color=#FFC20F>Level {0}!</color>	Koleksiyonu <color=#FFC20F>Seviye {0}'da</color> Aç!	Ontgrendel Collectie op <color=#FFC20F>Level {0}!</color>	Sammlung auf <color=#FFC20F>Level {0}</color> freischalten!	Débloque la Collection au <color=#FFC20F>Niveau {0} !</color>	Sblocca Collezione al <color=#FFC20F>Livello {0}!</color>	Desbloqueie a Coleção no <color=#FFC20F>Nível {0}!</color>	¡Desbloquea la Colección en el <color=#FFC20F>Nivel {0}!</color>	Разблокируйте Коллекцию на <color=#FFC20F>Уровне {0}!</color>	<color=#FFC20F>レベル{0}</color>でコレクション解放！	<color=#FFC20F>레벨 {0}</color>에서 컬렉션 해제!
CollectionUpdate	0	New Collection will be coming soon!	Yeni Koleksiyon yakında geliyor!	Nieuwe Collectie komt binnenkort!	Neue Sammlung kommt bald!	Une nouvelle Collection arrive bientôt !	Una nuova collezione arriverà presto!	Nova Coleção em breve!	¡Una nueva colección llegará pronto!	Скоро появится новая коллекция!	新しいコレクションがもうすぐ登場します！	새로운 컬렉션이 곧 출시됩니다!
CollectionVisitPage	0	Visit our support page for more information about rules and probabilities.	Kurallar ve olasılıklar hakkında daha fazla bilgi için destek sayfamızı ziyaret edin.	Bezoek onze ondersteuningspagina voor meer informatie over regels en kansen.	Besuchen Sie unsere Support-Seite für weitere Informationen zu Regeln und Wahrscheinlichkeiten.	Visitez notre page de support pour plus d'informations sur les règles et probabilités.	Visita la nostra pagina di supporto per maggiori informazioni su regole e probabilità.	Visite nossa página de suporte para mais informações sobre regras e probabilidades.	Visita nuestra página de soporte para más información sobre reglas y probabilidades.	Посетите нашу страницу поддержки для получения дополнительной информации о правилах и вероятностях.	ルールと確率の詳細については、サポートページをご覧ください。	규칙과 확률에 대한 자세한 정보는 지원 페이지를 방문해주세요.
CollectionWinCardPacks	0	Win card packs from\nevents and tournaments!	Etkinlikler ve turnuvalardan\nkart paketleri kazan!	Win kaartpakketten van \nevenementen en toernooien!	Gewinne Kartenpakete bei \nEvents und Turnieren!	Gagne des packs de cartes lors \nd'événements et tournois !	Vinci pacchetti di carte \nda eventi e tornei!	Ganhe pacotes de cartas\n em eventos e torneios!	¡Gana paquetes de cartas \nen eventos y torneos!	Выигрывайте наборы \nкарт в событиях и турнирах!	イベントやトーナメントでカー\nドパックを獲得しよう！	이벤트와 토너먼트에서 \n카드팩을 획득하세요!
CollectionYouCanCollect	0	You can collect this card from events, and rewards!	Bu kartı etkinlikler ve ödüllerden toplayabilirsin!	Je kunt deze kaart verzamelen van evenementen en beloningen!	Du kannst diese Karte bei Events und Belohnungen sammeln!	Tu peux collecter cette carte lors d'événements et récompenses !	Puoi collezionare questa carta da eventi e ricompense!	Você pode coletar esta carta de eventos e recompensas!	¡Puedes coleccionar esta carta de eventos y recompensas!	Вы можете получить эту карту из событий и наград!	このカードはイベントや報酬で収集できます！	이 카드는 이벤트와 보상에서 수집할 수 있습니다!
CollectionYouCanSend	0	You can send {0} card in a day!	Günde {0} kart gönderebilirsin!	Je kunt {0} kaart per dag verzenden!	Du kannst {0} Karte am Tag senden!	Tu peux envoyer {0} carte par jour !	Puoi inviare {0} carta al giorno!	Você pode enviar {0} carta por dia!	¡Puedes enviar {0} carta al día!	Вы можете отправить {0} карту в день!	1日に{0}枚のカードを送信できます！	하루에 {0}장의 카드를 보낼 수 있습니다!
CollectionYouGotToken	0	You got\n{0}!	{0}\nkazandın!	Je hebt {0} gekregen!	Du hast {0} erhalten!	Tu as obtenu {0} !	Hai ottenuto {0}!	Você ganhou {0}!	¡Conseguiste {0}!	Вы получили {0}!	{0}を獲得！	{0}을 획득했습니다!
ComingSoon	0	Coming Soon!	Çok Yakında!	Binnenkort beschikbaar!	Demnächst!	Bientôt disponible !	In arrivo!	Em Breve!	¡Próximamente!	Скоро будет!	近日公開！	곧 출시됩니다!
Completed	0	Completed	Tamamlandı	Voltooid	Abgeschlossen	Terminé	Completato	Concluído	Completado	Завершено	完了しました	완료됨
Congratulations	0	Congratulations	Tebrikler	Gefeliciteerd	Glückwunsch	Félicitations	Congratulazioni	Parabéns	¡Felicidades!	Поздравляем	おめでとうございます	축하합니다
Congratulations!	0	Congratulations!	Tebrikler!	Gefeliciteerd!	Herzlichen Glückwunsch!	Félicitations !	Congratulazioni!	Parabéns!	¡Felicidades!	Поздравляем!	おめでとうございます！	축하합니다!
Connected	0	Connected	Bağlı	Verbonden	Verbunden	Connecté	Connesso	Conectado	Conectado	Подключено	接続中	연결됨
Continue	0	Continue	Devam Et	Doorgaan	Fortfahren	Continuer	Continua	Continuar	Continuar	Продолжить	続ける	계속하기
Continue?	0	Continue?	Devam et?	Doorgaan?	Weitermachen?	Continuer ?	Continua?	Continuar?	¿Continuar?	Продолжить?	続けますか？	계속하시겠습니까?
Country	0	Country	Ülke	Land	Land	Pays	Paese	País	País	Страна	国	국가
Create	0	Create	Oluştur	Aanmaken	Erstellen	Créer	Crea	Criar	Crear	Создать	作成	생성
Current	0	Current	Mevcut	Huidige	Aktuell	Actuel	Attuale	Atual	Actual	Текущий	現在	현재
Daily	0	Daily	Günlük	Dagelijks	Täglich	Quotidiennement	Quotidiano	Diário	Diario	Ежедневно	毎日	일일
Daily Bonus	0	Daily Bonus!	Günlük Bonus!	Dagelijkse Bonus!	Täglicher Bonus!	Bonus Quotidien !	Bonus Giornaliero!	Bônus Diário!	¡Bono Diario!	Ежедневный бонус!	デイリーボーナス！	일일 보너스!
Daily Bonus Pick Hat Info	0	Pick a <color=#FEC700>Magical Hat</color>\nto get your daily reward!	Günlük ödülünü almak için bir <color=#FEC700>Sihirli Şapka</color> seç!	Kies een <color=#FEC700>Magische Hoed</color> om je dagelijkse beloning te ontvangen!	Wähle einen <color=#FEC700>Magischen Hut</color>, um deine tägliche Belohnung zu erhalten!	Choisissez un <color=#FEC700>chapeau magique</color> pour recevoir votre récompense quotidienne !	Scegli un <color=#FEC700>Cappello Magico</color> per ricevere la tua ricompensa giornaliera!	Escolha um <color=#FEC700>Chapéu Mágico</color> para receber sua recompensa diária!	Elige un <color=#FEC700>Sombrero Mágico</color> para obtener tu recompensa diaria.	Выбери <color=#FEC700>Волшебную Шляпу</color>, чтобы получить ежедневную награду!	毎日の報酬を得るために<color=#FEC700>魔法の帽子</color>を選んでください！	<color=#FEC700>마법 모자</color>를 선택하여 일일 보상을 받으세요!
Daily Bonus event has ended!	0	Daily Bonus event has ended!	Günlük Bonus etkinliği sona erdi!	Het Dagelijkse Bonus-evenement is beëindigd!	Das tägliche Bonusereignis ist beendet!	L'événement de Bonus Quotidien est terminé !	L'evento Bonus Giornaliero è terminato!	O evento Bônus Diário terminou!	¡El evento de Bonificación Diaria ha terminado!	Событие «Ежедневный бонус» завершилось!	デイリーボーナスイベントが終了しました！	일일 보너스 이벤트가 종료되었습니다!
DailyChallengeQuitPopupWarning	0	Challenge will be failed!	Meydan okuma başarısız olacak!	Uitdaging mislukt!	Herausforderung wird fehlschlagen!	Le défi sera échoué !	La sfida verrà annullata!	Desafio será falhado!	¡El desafío se dará por perdido!	Испытание будет провалено!	挑戦は失敗します！	도전이 실패하게 됩니다!
